id,title,profession_id,organizer,description,address,latitude,longitude,date,time,salary,contact_email,contact_phone,type,min_experience,max_experience,required_skills,status,is_featured,image_url,registration_url,posted_date,end_date,seats,fee,rating,reviews,eligibility,website,duration,notes,preference,tags,created_by,last_updated,gender_preference,min_age,max_age,application_deadline,organizer_avatar,audience,source,certificate,additional_info,is_active,is_online,clicks,views
15,Interior Design Basics,13,DesignPro,Learn interior decorating,Design Street,12.9840,77.6070,2025-11-26,11:00 AM,5000,info@designpro.com,9876543223,Workshop,0,4,Design,Open,No,https://img15.url,https://register15.url,2025-10-15,2025-11-26,20,5000,4.5,14+,All,https://designpro.com,2h,None,None,Design,admin,2025-10-19,None,None,None,avatar15.png,General,Online,None,Extra info,Yes,Yes,45,190
16,Entrepreneurship Bootcamp,14,StartUpHub,Learn to start your business,Innovation Park,12.9850,77.6080,2025-11-28,09:00 AM,8000,info@startuphub.com,9876543224,Workshop,0,5,Entrepreneurship,Open,Yes,https://img16.url,https://register16.url,2025-10-16,2025-11-28,30,8000,4.6,15+,All,https://startuphub.com,3h,None,None,Business,admin,2025-10-20,None,None,None,avatar16.png,General,Online,None,Extra info,Yes,Yes,60,210
17,Personal Finance Workshop,15,MoneyMatters,Learn financial planning,Bank Street,12.9860,77.6090,2025-11-30,02:00 PM,3000,info@moneymatters.com,9876543225,Workshop,0,3,Finance,Open,No,https://img17.url,https://register17.url,2025-10-17,2025-11-30,25,3000,4.4,12+,All,https://moneymatters.com,2h,None,None,Finance,admin,2025-10-21,None,None,None,avatar17.png,General,Online,None,Extra info,Yes,Yes,40,170
18,App Development Bootcamp,2,CodeLabs,Build mobile apps,Tech Park,12.9870,77.6100,2025-12-02,10:00 AM,10000,info@codelabs.com,9876543226,Workshop,0,3,Android;iOS,Open,Yes,https://img18.url,https://register18.url,2025-10-18,2025-12-02,25,10000,4.7,20+,All,https://codelabs.com,3h,None,None,App Dev,admin,2025-10-22,None,None,None,avatar18.png,General,Online,None,Extra info,Yes,Yes,60,230
19,Robotics Workshop,16,TechWorld,Learn basic robotics,Innovation Hub,12.9880,77.6110,2025-12-04,09:00 AM,12000,info@techworld.com,9876543227,Workshop,0,4,Robotics,Open,Yes,https://img19.url,https://register19.url,2025-10-19,2025-12-04,20,12000,4.6,15+,All,https://techworld.com,3h,None,None,Robotics,admin,2025-10-23,None,None,None,avatar19.png,General,Online,None,Extra info,Yes,Yes,55,220
20,Creative Coding Bootcamp,2,CodeHub,Learn creative coding techniques,Tech Tower,12.9890,77.6120,2025-12-06,11:00 AM,9000,info@codehub.com,9876543228,Workshop,0,3,Python;JavaScript,Open,Yes,https://img20.url,https://register20.url,2025-10-20,2025-12-06,25,9000,4.5,14+,All,https://codehub.com,3h,None,None,Coding,admin,2025-10-24,None,None,None,avatar20.png,General,Online,None,Extra info,Yes,Yes,50,200
21,Creative Painting Workshop,17,ArtStudio,Learn painting techniques,Art Street,12.9900,77.6130,2025-12-08,03:00 PM,4000,info@artstudio.com,9876543229,Workshop,0,3,Painting,Open,No,https://img21.url,https://register21.url,2025-10-21,2025-12-08,20,4000,4.3,12+,All,https://artstudio.com,2h,None,None,Painting,admin,2025-10-25,None,None,None,avatar21.png,General,Online,None,Extra info,Yes,Yes,40,180
22,Music Production Bootcamp,5,MusicLab,Learn music production,Music Lane,12.9910,77.6140,2025-12-10,05:00 PM,8000,info@musiclab.com,9876543230,Workshop,0,3,DAW;Mixing,Open,Yes,https://img22.url,https://register22.url,2025-10-22,2025-12-10,25,8000,4.6,15+,All,https://musiclab.com,3h,None,None,Music,admin,2025-10-26,None,None,None,avatar22.png,General,Online,None,Extra info,Yes,Yes,55,210
23,3D Modeling Workshop,18,DesignHub,Learn 3D modeling techniques,Creative Street,12.9920,77.6150,2025-12-12,02:00 PM,7000,info@designhub.com,9876543231,Workshop,0,4,3D Modeling,Open,Yes,https://img23.url,https://register23.url,2025-10-23,2025-12-12,20,7000,4.5,14+,All,https://designhub.com,3h,None,None,3D Design,admin,2025-10-27,None,None,None,avatar23.png,General,Online,None,Extra info,Yes,Yes,50,190
24,Film Making Workshop,19,FilmHub,Learn film making,Studio Street,12.9930,77.6160,2025-12-14,11:00 AM,9000,info@filmhub.com,9876543232,Workshop,0,5,Film,Open,Yes,https://img24.url,https://register24.url,2025-10-24,2025-12-14,25,9000,4.7,18+,All,https://filmhub.com,3h,None,None,Film,admin,2025-10-28,None,None,None,avatar24.png,General,Online,None,Extra info,Yes,Yes,60,220
25,Creative Writing Advanced,11,WriteNow,Advanced writing techniques,Library,12.9940,77.6170,2025-12-16,03:00 PM,3500,info@writenow.com,9876543233,Workshop,1,3,Creative Writing,Open,Yes,https://img25.url,https://register25.url,2025-10-25,2025-12-16,20,3500,4.6,15+,All,https://writenow.com,2h,None,None,Writing,admin,2025-10-29,None,None,None,avatar25.png,General,Online,None,Extra info,Yes,Yes,55,210
26,SEO Masterclass,12,MarketGuru,Learn SEO techniques,Tech Hub,12.9950,77.6180,2025-12-18,10:00 AM,6000,info@marketguru.com,9876543234,Workshop,1,3,SEO,Open,Yes,https://img26.url,https://register26.url,2025-10-26,2025-12-18,25,6000,4.7,18+,All,https://marketguru.com,3h,None,None,Marketing,admin,2025-10-30,None,None,None,avatar26.png,General,Online,None,Extra info,Yes,Yes,60,220
27,Interior Decorating Workshop,13,DesignPro,Learn decorating basics,Design Street,12.9960,77.6190,2025-12-20,11:00 AM,5000,info@designpro.com,9876543235,Workshop,0,4,Decorating,Open,No,https://img27.url,https://register27.url,2025-10-27,2025-12-20,20,5000,4.5,14+,All,https://designpro.com,2h,None,None,Design,admin,2025-10-31,None,None,None,avatar27.png,General,Online,None,Extra info,Yes,Yes,45,190
28,Startup Essentials,14,StartUpHub,Learn to launch startup,Innovation Park,12.9970,77.6200,2025-12-22,09:00 AM,8000,info@startuphub.com,9876543236,Workshop,0,5,Entrepreneurship,Open,Yes,https://img28.url,https://register28.url,2025-10-28,2025-12-22,30,8000,4.6,15+,All,https://startuphub.com,3h,None,None,Business,admin,2025-11-01,None,None,None,avatar28.png,General,Online,None,Extra info,Yes,Yes,60,210
29,Investment Planning Workshop,15,MoneyMatters,Learn investment strategies,Bank Street,12.9980,77.6210,2025-12-24,02:00 PM,3000,info@moneymatters.com,9876543237,Workshop,0,3,Investment,Open,No,https://img29.url,https://register29.url,2025-10-29,2025-12-24,25,3000,4.4,12+,All,https://moneymatters.com,2h,None,None,Finance,admin,2025-11-02,None,None,None,avatar29.png,General,Online,None,Extra info,Yes,Yes,40,170
30,Android App Bootcamp,2,CodeLabs,Learn Android development,Tech Park,12.9990,77.6220,2025-12-26,10:00 AM,10000,info@codelabs.com,9876543238,Workshop,0,3,Android,Open,Yes,https://img30.url,https://register30.url,2025-10-30,2025-12-26,25,10000,4.7,20+,All,https://codelabs.com,3h,None,None,App Dev,admin,2025-11-03,None,None,None,avatar30.png,General,Online,None,Extra info,Yes,Yes,60,230
31,Robotics Advanced Workshop,16,TechWorld,Advanced robotics projects,Innovation Hub,13.0000,77.6230,2025-12-28,09:00 AM,12000,info@techworld.com,9876543239,Workshop,1,4,Robotics,Open,Yes,https://img31.url,https://register31.url,2025-10-31,2025-12-28,20,12000,4.6,15+,All,https://techworld.com,3h,None,None,Robotics,admin,2025-11-04,None,None,None,avatar31.png,General,Online,None,Extra info,Yes,Yes,55,220
32,Creative Coding Advanced,2,CodeHub,Advanced creative coding,Tech Tower,13.0010,77.6240,2025-12-30,11:00 AM,9000,info@codehub.com,9876543240,Workshop,0,3,Python;JavaScript,Open,Yes,https://img32.url,https://register32.url,2025-11-01,2025-12-30,25,9000,4.5,14+,All,https://codehub.com,3h,None,None,Coding,admin,2025-11-05,None,None,None,avatar32.png,General,Online,None,Extra info,Yes,Yes,50,200
33,Watercolor Painting Workshop,17,ArtStudio,Learn watercolor techniques,Art Street,13.0020,77.6250,2026-01-02,03:00 PM,4000,info@artstudio.com,9876543241,Workshop,0,3,Painting,Open,No,https://img33.url,https://register33.url,2025-11-02,2026-01-02,20,4000,4.3,12+,All,https://artstudio.com,2h,None,None,Painting,admin,2025-11-06,None,None,None,avatar33.png,General,Online,None,Extra info,Yes,Yes,40,180
34,Music Production Advanced,5,MusicLab,Advanced music production,Music Lane,13.0030,77.6260,2026-01-04,05:00 PM,8000,info@musiclab.com,9876543242,Workshop,0,3,DAW;Mixing,Open,Yes,https://img34.url,https://register34.url,2025-11-03,2026-01-04,25,8000,4.6,15+,All,https://musiclab.com,3h,None,None,Music,admin,2025-11-07,None,None,None,avatar34.png,General,Online,None,Extra info,Yes,Yes,55,210
35,3D Animation Workshop,18,DesignHub,Learn 3D animation,Creative Street,13.0040,77.6270,2026-01-06,02:00 PM,7000,info@designhub.com,9876543243,Workshop,0,4,3D Modeling,Open,Yes,https://img35.url,https://register35.url,2025-11-04,2026-01-06,20,7000,4.5,14+,All,https://designhub.com,3h,None,None,3D Design,admin,2025-11-08,None,None,None,avatar35.png,General,Online,None,Extra info,Yes,Yes,50,190
36,Short Film Making,19,FilmHub,Make short films,Studio Street,13.0050,77.6280,2026-01-08,11:00 AM,9000,info@filmhub.com,9876543244,Workshop,0,5,Film,Open,Yes,https://img36.url,https://register36.url,2025-11-05,2026-01-08,25,9000,4.7,18+,All,https://filmhub.com,3h,None,None,Film,admin,2025-11-09,None,None,None,avatar36.png,General,Online,None,Extra info,Yes,Yes,60,220
37,Advanced Creative Writing,11,WriteNow,Master creative writing,Library,13.0060,77.6290,2026-01-10,03:00 PM,3500,info@writenow.com,9876543245,Workshop,1,3,Creative Writing,Open,Yes,https://img37.url,https://register37.url,2025-11-06,2026-01-10,20,3500,4.6,15+,All,https://writenow.com,2h,None,None,Writing,admin,2025-11-10,None,None,None,avatar37.png,General,Online,None,Extra info,Yes,Yes,55,210
38,Content Marketing Workshop,12,MarketGuru,Learn content marketing,Tech Hub,13.0070,77.6300,2026-01-12,10:00 AM,6000,info@marketguru.com,9876543246,Workshop,1,3,Content Marketing,Open,Yes,https://img38.url,https://register38.url,2025-11-07,2026-01-12,25,6000,4.7,18+,All,https://marketguru.com,3h,None,None,Marketing,admin,2025-11-11,None,None,None,avatar38.png,General,Online,None,Extra info,Yes,Yes,60,220
39,Advanced Interior Design,13,DesignPro,Advanced decorating techniques,Design Street,13.0080,77.6310,2026-01-14,11:00 AM,5000,info@designpro.com,9876543247,Workshop,0,4,Decorating,Open,No,https://img39.url,https://register39.url,2025-11-08,2026-01-14,20,5000,4.5,14+,All,https://designpro.com,2h,None,None,Design,admin,2025-11-12,None,None,None,avatar39.png,General,Online,None,Extra info,Yes,Yes,45,190
40,Startup Growth Bootcamp,14,StartUpHub,Advanced startup growth,Innovation Park,13.0090,77.6320,2026-01-16,09:00 AM,8000,info@startuphub.com,9876543248,Workshop,0,5,Entrepreneurship,Open,Yes,https://img40.url,https://register40.url,2025-11-09,2026-01-16,30,8000,4.6,15+,All,https://startuphub.com,3h,None,None,Business,admin,2025-11-13,None,None,None,avatar40.png,General,Online,None,Extra info,Yes,Yes,60,210
41,Investment Strategies Advanced,15,MoneyMatters,Advanced investing techniques,Bank Street,13.0100,77.6330,2026-01-18,02:00 PM,3000,info@moneymatters.com,9876543249,Workshop,0,3,Investment,Open,No,https://img41.url,https://register41.url,2025-11-10,2026-01-18,25,3000,4.4,12+,All,https://moneymatters.com,2h,None,None,Finance,admin,2025-11-14,None,None,None,avatar41.png,General,Online,None,Extra info,Yes,Yes,40,170
42,Flutter App Bootcamp,2,CodeLabs,Learn Flutter app development,Tech Park,13.0110,77.6340,2026-01-20,10:00 AM,10000,info@codelabs.com,9876543250,Workshop,0,3,Flutter,Open,Yes,https://img42.url,https://register42.url,2025-11-11,2026-01-20,25,10000,4.7,20+,All,https://codelabs.com,3h,None,None,App Dev,admin,2025-11-15,None,None,None,avatar42.png,General,Online,None,Extra info,Yes,Yes,60,230
43,Industrial Robotics,16,TechWorld,Industrial robotics training,Innovation Hub,13.0120,77.6350,2026-01-22,09:00 AM,12000,info@techworld.com,9876543251,Workshop,1,4,Robotics,Open,Yes,https://img43.url,https://register43.url,2025-11-12,2026-01-22,20,12000,4.6,15+,All,https://techworld.com,3h,None,None,Robotics,admin,2025-11-16,None,None,None,avatar43.png,General,Online,None,Extra info,Yes,Yes,55,220
44,Creative Coding Expert,2,CodeHub,Expert level coding,Tech Tower,13.0130,77.6360,2026-01-24,11:00 AM,9000,info@codehub.com,9876543252,Workshop,0,3,Python;JS,Open,Yes,https://img44.url,https://register44.url,2025-11-13,2026-01-24,25,9000,4.5,14+,All,https://codehub.com,3h,None,None,Coding,admin,2025-11-17,None,None,None,avatar44.png,General,Online,None,Extra info,Yes,Yes,50,200
45,Oil Painting Workshop,17,ArtStudio,Advanced oil painting,Art Street,13.0140,77.6370,2026-01-26,03:00 PM,4000,info@artstudio.com,9876543253,Workshop,0,3,Painting,Open,No,https://img45.url,https://register45.url,2025-11-14,2026-01-26,20,4000,4.3,12+,All,https://artstudio.com,2h,None,None,Painting,admin,2025-11-18,None,None,None,avatar45.png,General,Online,None,Extra info,Yes,Yes,40,180
46,Music Masterclass,5,MusicLab,Advanced music techniques,Music Lane,13.0150,77.6380,2026-01-28,05:00 PM,8000,info@musiclab.com,9876543254,Workshop,0,3,DAW;Mixing,Open,Yes,https://img46.url,https://register46.url,2025-11-15,2026-01-28,25,8000,4.6,15+,All,https://musiclab.com,3h,None,None,Music,admin,2025-11-19,None,None,None,avatar46.png,General,Online,None,Extra info,Yes,Yes,55,210
47,Animation Bootcamp,18,DesignHub,Advanced animation techniques,Creative Street,13.0160,77.6390,2026-01-30,02:00 PM,7000,info@designhub.com,9876543255,Workshop,0,4,3D Animation,Open,Yes,https://img47.url,https://register47.url,2025-11-16,2026-01-30,20,7000,4.5,14+,All,https://designhub.com,3h,None,None,3D Design,admin,2025-11-20,None,None,None,avatar47.png,General,Online,None,Extra info,Yes,Yes,50,190
48,Documentary Filmmaking,19,FilmHub,Learn documentary creation,Studio Street,13.0170,77.6400,2026-02-01,11:00 AM,9000,info@filmhub.com,9876543256,Workshop,0,5,Film,Open,Yes,https://img48.url,https://register48.url,2025-11-17,2026-02-01,25,9000,4.7,18+,All,https://filmhub.com,3h,None,None,Film,admin,2025-11-21,None,None,None,avatar48.png,General,Online,None,Extra info,Yes,Yes,60,220
49,Creative Writing Expert,11,WriteNow,Expert level creative writing,Library,13.0180,77.6410,2026-02-03,03:00 PM,3500,info@writenow.com,9876543257,Workshop,1,3,Creative Writing,Open,Yes,https://img49.url,https://register49.url,2025-11-18,2026-02-03,20,3500,4.6,15+,All,https://writenow.com,2h,None,None,Writing,admin,2025-11-22,None,None,None,avatar49.png,General,Online,None,Extra info,Yes,Yes,55,210
50,Digital Marketing Expert,12,MarketGuru,Expert digital marketing,Tech Hub,13.0190,77.6420,2026-02-05,10:00 AM,6000,info@marketguru.com,9876543258,Workshop,1,3,SEO;Social Media,Open,Yes,https://img50.url,https://register50.url,2025-11-19,2026-02-05,25,6000,4.7,18+,All,https://marketguru.com,3h,None,None,Marketing,admin,2025-11-23,None,None,None,avatar50.png,General,Online,None,Extra info,Yes,Yes,60,220
