career_id,title,category,description,min_salary,max_salary,growth_rate,remote_work,skills_required,education_level,experience_needed,market_demand,,
25,Mechanical Technician,Practical,Maintain and repair mechanical equipment,300000,700000,Medium,No,"Machining,Tools,Blueprint Reading",Diploma,0-2 years,Medium,,
26,Mobile App Developer,Tech,Design and build mobile apps for iOS and Android,700000,1800000,High,Yes,"Flutter,React Native,Dart",Bachelor,1-3 years,Very High,,
27,AI Engineer,Tech,Develop AI models and integrate ML algorithms,1000000,2500000,Very High,Yes,"Python,TensorFlow,Deep Learning",Master,2-5 years,High,,
28,Product Manager,Business,Oversee product lifecycle and strategy,900000,2000000,High,Yes,"Leadership,Data Analysis,Agile",Bachelor,3-6 years,High,,
29,UX Researcher,Design,Understand user needs to improve product design,700000,1500000,High,Yes,"Figma,Research,Prototyping",Bachelor,1-3 years,High,,
30,Cybersecurity Analyst,Tech,Protect systems and data from cyber threats,800000,1600000,Very High,Yes,"Networking,Security Tools,Python",Bachelor,2-4 years,Very High,,
31,Financial Analyst,Finance,Analyze data to guide investment decisions,600000,1200000,Moderate,No,"Excel,Statistics,Finance",Bachelor,1-3 years,High,,
32,Marketing Strategist,Business,Design and execute marketing campaigns,500000,1000000,High,Yes,"SEO,Analytics,Creativity",Bachelor,2-5 years,High,,
33,Blockchain Developer,Tech,Create decentralized apps and smart contracts,900000,2000000,Very High,Yes,"Solidity,Web3.js,Blockchain",Bachelor,2-4 years,High,,
34,AR/VR Developer,Tech,Build immersive AR/VR experiences,850000,1900000,High,Yes,"Unity,C#,3D Modeling",Bachelor,2-5 years,High,,
35,Game Designer,Creative,Design and develop engaging video games,600000,1500000,High,Yes,"Game Engines,Storytelling,Animation",Bachelor,1-3 years,High,,
36,Data Engineer,Tech,Build pipelines for big data processing,900000,2100000,Very High,Yes,"SQL,ETL,Python",Bachelor,2-5 years,Very High,,
37,HR Specialist,People,Manage recruitment and employee engagement,400000,900000,Moderate,Yes,"Communication,Recruitment,HRMS",Bachelor,1-3 years,Moderate,,
38,Cloud Architect,Tech,Design and deploy cloud infrastructure,1200000,2800000,Very High,Yes,"AWS,Azure,DevOps",Bachelor,3-6 years,High,,
39,Content Strategist,Creative,Develop and manage content strategies,500000,1100000,High,Yes,"Writing,SEO,Analytics",Bachelor,2-4 years,High,,
40,Operations Manager,Business,Oversee daily operations and logistics,700000,1600000,Moderate,No,"Leadership,Planning,Data Analysis",Bachelor,3-6 years,Moderate,,
41,Robotics Engineer,Engineering,Build and program robots for automation,900000,2000000,High,No,"C++,Electronics,Mechanics",Bachelor,2-5 years,High,,
42,Architect,Creative,Design buildings and oversee construction,600000,1500000,Moderate,No,"AutoCAD,Design Thinking,Planning",Bachelor,2-5 years,High,,
43,Environmental Scientist,Science,Research and manage environmental impacts,500000,1300000,Moderate,No,"Research,Data Analysis,Field Work",Bachelor,2-4 years,Moderate,,
44,Teacher,Education,Educate students and develop curriculum,400000,900000,Low,No,"Communication,Planning,Patience",Bachelor,0-3 years,High,,
45,Event Planner,Creative,Organize and coordinate events and conferences,450000,1000000,Moderate,No,"Organization,Negotiation,Creativity",Bachelor,1-4 years,Moderate,,
46,Photographer,Creative,Capture and edit professional photographs,300000,800000,Moderate,Yes,"Photography,Editing,Creativity",Diploma,1-3 years,Moderate,,
47,Mechanical Engineer,Engineering,Design and test mechanical systems,600000,1400000,Moderate,No,"CAD,Physics,Problem-solving",Bachelor,1-3 years,High,,
48,Research Scientist,Science,Conduct experiments and publish findings,800000,1800000,High,No,"Research,Data Analysis,Lab Skills",Master,3-6 years,High,,
49,Copywriter,Creative,Write content for ads, blogs, and media,400000,1000000,High,Yes,"Writing,Marketing,Creativity",Bachelor,1-3 years,High
50,Interior Designer,Creative,Design interior spaces for aesthetics and comfort,500000,1200000,Moderate,Yes,"AutoCAD,Design,Creativity",Bachelor,1-3 years,Moderate,,
